label	value
	
	
	
"ARTS & HUMANITIES, RESIDENTIAL COLL IN"	"$77,814.64"
RESIDENTIAL COLLEGE ARTS & HUMAN DEAN	"$77,814.64"
	
ASC PROV & ASC VP ACAD HUMAN RESOURCES	"$175,094.44"
ASC PROV AST VP ACADEMIC HUMAN RESOURCES	"$182,372.40"
FACULTY & ORG DEVELOPMENT - AHR	"$160,538.52"
	
ASC PROV FOR UNIV OUTREACH & ENGAGEMENT	"$82,490.80"
ACADEMIC SERVICE LEARNING	"$75,126.36"
AFRICAN STUDIES CENTER	"$58,627.64"
ASIAN STUDIES CENTER	"$43,390.67"
CENTER FOR GENDER IN GLOBAL CONTEXT	"$59,430.96"
COMMUNITY EVALUATION & RSCH COLLABRTVE	"$68,571.27"
CTR FOR ADV STUDY INT'L DEVEL	"$69,459.44"
JULIAN SAMORA RSCH. INST.	"$122,515.02"
MUSEUM	"$81,384.16"
NATL COLLAB FOR STUDY OF UNIV ENGAGEMENT	"$89,562.00"
OUTREACH & ENGAGEMENT PARTNERSHIPS	"$105,819.58"
OUTREACH & ENGAGEMENT STRATEGIC INVSTMNT	"$81,140.04"
PERFORMING ARTS FACILITIES & PROGRAMS	"$248,205.24"
UOE COMMUNICATION & INFORMATION TECHNOL	"$71,550.00"
USABILITY/ACCESSIBILITY RSCH CONSULTING	"$94,622.68"
	
ASC PROVOST FOR ACADEMIC SERVICES	"$148,558.84"
ASC PROVOST FOR ACADEMIC SERVICES	"$220,190.28"
FINANCIAL AID	"$169,950.00"
OFFICE OF ADMISSIONS	"$117,527.92"
REGISTRAR	"$148,629.00"
	
ASC PROVOST FOR UNDERGRADUATE EDUCATION	"$61,749.00"
ADMIN SUPPORT-MLK INITIATIVE	"$57,506.70"
ASC PROVOST FOR UNDERGRADUATE EDUCATION	"$88,936.01"
MIGRANT STUDENT SERVICES	"$100,321.56"
RESOURCE CTR FOR PERSONS W/DISABILITIES	"$53,946.41"
SUPPORTIVE SERVICES PROGRAM	"$72,930.55"
UNDERGRADUATE UNIVERSITY DIVISION	"$54,568.85"
UPWARD BOUND	"$68,986.84"
	
BUSINESS OPERATIONS	"$162,512.13"
CONTRACT AND GRANT ADMINISTRATION	"$158,754.00"
CONTROLLER	"$175,100.00"
ENTERPRISE BUSINESS SYSTEMS PROJECTS	"$184,370.04"
INVESTMENT & FINANCIAL MANAGEMENT	"$159,297.72"
RISK MANAGEMENT	"$135,038.88"
	
COLLEGE OF AGRICULTURE & NAT RESOURCES	"$84,092.52"
AGRICULTURAL TECH. INST.	"$58,536.66"
AGRICULTURE & NAT RESOURCES DEAN	"$95,138.55"
BAILEY SCHOLARS	"$61,504.79"
CANR PUBLIC SERVICE ACTIV.	"$93,868.75"
CANR RESEARCH ACTIVITIES	"$249,023.24"
CTR FOR MICROBIAL ECOLOGY	"$31,193.52"
FOOD INDUSTRY INSTITUTE	"$104,055.03"
NATIVE AMERICAN INSTITUTE	"$59,884.25"
UNIVERSITY FARMS	"$143,266.92"
	
COLLEGE OF ARTS AND LETTERS	"$63,229.53"
A&L INTERDEPARTMENTAL PROGRAMS	"$57,257.45"
ART & ART HISTORY	"$63,650.58"
ARTS & LETTERS DEAN	"$93,665.73"
ARTS AND LETTERS WRITING CENTER	"$62,054.76"
