Catagories,Salary
"MATHEMATICS,SCIENCE,TECH AT MSU-HON COL",26627.96
CTR FOR MICROBIAL ECOLOGY,31193.52
COMMY MUSIC SCHOOL,36108.23
CNS - RESEARCH SERVICES,37530
RESEARCH TECHNOL SUPPORT FACILITY - MAES,42630
ASIAN STUDIES CENTER,43390.67
ENGLISH LANGUAGE CENTER,44192.13
GREAT LAKES BIOENERGY RESEARCH CTR,44904.39
CTR FOR INTEGRAT STD - ARTS & HUMANITIES,46309.04
"PROG IN WOMEN,GENDER& SOC JUST",47577.26
COUNSELING CENTER,49202.56
GLOBAL CHANGE & EARTH OBS,50082.33
INTRAMURAL SPORTS & RECREATIVE SERVICES,51585.28
EXTENSION HEALTH AND NUTRITION,51590.21
EXTENSION CHILDREN AND YOUTH,52025.73
BIO/COMPUTATIONAL EVOLUTION IN ACTION,53446.1
THEATRE,53894.83
RESOURCE CTR FOR PERSONS W/DISABILITIES,53946.41
OFF CAMPUS CREDIT PROGRAM,54364.61
UNDERGRADUATE UNIVERSITY DIVISION,54568.85
ANR TECHNOLOGY SERVICES,55767.24
MATRIX,56043
"WRITING, RHETORIC & AMERICAN CULTURE",56447.88
INTERNATIONAL BUSINESS CENTER,56496
A&L INTERDEPARTMENTAL PROGRAMS,57257.45
ADMIN SUPPORT-MLK INITIATIVE,57506.7
UNIVERSITY ARCHIVES & HISTORIC COLLECT,58434.77
AGRICULTURAL TECH. INST.,58536.66
AFRICAN STUDIES CENTER,58627.64
EXTENSION GREENING MICHIGAN,59081.79
