Catagories,Salary,,,,
LIBRARIES,72929.39,ADMIN,,,
LIBRARIES,72929.39,ADMIN,,,
SUPPORTIVE SERVICES PROGRAM,72930.55,ADMIN,,,
GRADUATE SCHOOL DEAN,74498.12,ADMIN,,,
INTERNATIONAL STUDIES & PROGRAMS DEAN,74821.02,ADMIN,,,
HONORS COLLEGE DEAN,74923.48,ADMIN,,,
ACADEMIC SERVICE LEARNING,75126.36,ADMIN,,,
MSUE DIRECTOR'S OFFICE,76986.41,ADMIN,,,
RESIDENTIAL COLLEGE ARTS & HUMAN DEAN,77814.64,ADMIN,,,
OUTREACH & ENGAGEMENT STRATEGIC INVSTMNT,81140.04,ADMIN,,,
GRADUATE SCHOOL DEAN,81747.18,ADMIN,,,
ASC PROV FOR UNIV OUTREACH & ENGAGEMENT,82490.8,ADMIN,,,
JAMES MADISON COLLEGE DEAN,83765.32,ADMIN,,,
ASC PROVOST FOR UNDERGRADUATE EDUCATION,88936.01,ADMIN,,,
DEAN OF EDUCATION,90312.23,ADMIN,,,
EDUCATIONAL ADMINISTRATION,91615.07,ADMIN,,,
ARTS & LETTERS DEAN,93665.73,ADMIN,,,
VICE PRES RESEARCH AND GRADUATE STUDIES,94063.79,ADMIN,,,
CAMPUS PLANNING & ADMINISTRATION,94644.3,ADMIN,,,
OFFICE OF ACADEMIC PROGRAMS,94862.78,ADMIN,,,
LEAR CORPORATION CAREER SERVICES,96358.44,ADMIN,,,
OFFICE OF INTERNATIONAL STUDENTS & SCHOL,99328.92,ADMIN,,,
MIGRANT STUDENT SERVICES,100321.56,ADMIN,,,
SE MI MACOMB UNIVERSITY CENTER,100701.96,ADMIN,,,
ART MUSEUM,105133.33,ADMIN,,,
OUTREACH & ENGAGEMENT PARTNERSHIPS,105819.58,ADMIN,,,
OFFICE OF STUDY ABROAD-CENTER SUPPORT,108387,ADMIN,,,
INSTITUTE FOR HEALTH CARE STUDIES,109396.17,ADMIN,,,
INTERCOLLEGIATE ATHLETICS,109681.54,ADMIN,,,
INST FOR PUB POLICY SOC RS,112494,ADMIN,,,
MSU PRESS,113415.84,ADMIN,,,
SOCIAL SCIENCE DEAN,113636.31,ADMIN,,,
"REGULATORY AFFAIRS, OFFICE OF",115248.15,ADMIN,,,
ENTERPRISE INFORMATION STEWARDSHIP,116859.6,ADMIN,,,
OFFICE OF ADMISSIONS,117527.92,ADMIN,,,
V.P. FINANCE & OPERATIONS & TREASURER,118281.09,ADMIN,,,
LEARNING & ASSESSMENT CENTER,118593.72,ADMIN,,,
PROVOST-VICE PRES FOR ACADEMIC AFFAIRS,120557.49,ADMIN,,,
JULIAN SAMORA RSCH. INST.,122515.02,ADMIN,,,
VICE PROV LIBRARIES AND IT SERVICES,126855.11,ADMIN,,,
OFC INTNL RESEARCH COLLABORATION,128143.92,ADMIN,,,
ADVANCEMENT INFO SYS & DONOR STRATEGY,128750.04,ADMIN,,,
FACULTY GRIEVANCE OFFICIAL,129179.52,ADMIN,,,
EXECUTIVE DEVELOPMENT PROGRAMS,129298.29,ADMIN,,,
PRTNSHP CUT HUNGER POVERTY IN AFRICA,130394.8,ADMIN,,,
MSU UNION,134128.8,ADMIN,,,
DEPARTMENT OF MARKETING,134675.75,ADMIN,,,
RISK MANAGEMENT,135038.88,ADMIN,,,
CUSTODIAL SERVICES,136498.68,ADMIN,,,
TELECOMMUNICATION SYSTEMS,137461.8,ADMIN,,,
INSTITUTE OF INTERNATIONAL HEALTH,137526.52,ADMIN,,,
INTERNATIONAL STUDIES & PROGRAMS DEAN,137770.36,ADMIN,,,
STUDENT AFFAIRS & SERVICES VICE PRES,139872.04,ADMIN,,,
PUBLIC UTILITIES INSTITUTE,141657,ADMIN,,,
POWER AND WATER,141873.24,ADMIN,,,
ELI BROAD COLLEGE OF BUSINESS DEAN,143159.48,ADMIN,,,
UNIVERSITY SERVICES,144200.04,ADMIN,,,
UNIVERSITY SERVICES & RECYCLING,144200.04,ADMIN,,,
CULINARY SERVICES,147108,ADMIN,,,
MSU INNOVATION CENTER,147727.2,ADMIN,,,
ASC PROVOST FOR ACADEMIC SERVICES,148558.84,ADMIN,,,
REGISTRAR,148629,ADMIN,,,
GENERAL COUNSEL,148820.57,ADMIN,,,
GENERAL COUNSEL,148820.57,ADMIN,,,
BROADCASTING SERVICES,150000,ADMIN,,,
OFFICE OF SPONSORED PROJECTS,150287.98,ADMIN,,,
RESIDENCE EDUCATION AND HOUSING SER ADMN,150800,ADMIN,,,
ADVANCEMENT MKTG AND COMM,152234.04,ADMIN,,,
V.P. FOR BUS. AND FINANCE PHYSICAL PLANT,152353.66,ADMIN,,,
UNIVERSITY OMBUDSPERSON,154500,ADMIN,,,
